Ref Alias,Evidence Alias,Evidence Alias 2,Evidence Alias 3
adjustcontact,Powermismatch,,
adjustcontactl,Selectmismatch,,
"adjustcontactl,r",Successscreenmismatch,,
"adjustcontactl,r,t",adjust_contact_1,,
"adjustcontactl,t",adjust_contact_1_2,,
adjustcontactr,adjust_contact_1_2_3,,
"adjustcontactr,t",adjust_contact_1_3,,
calibration,adjust_contact_2,,
calibration14,adjust_contact_2_3,,
calibration15,adjust_contact_3,,
calibration16,adjust_contact_l,,
cellular,cellular_search,adjust_contact_l_r,
chooselanguage,adjust_contact_l_r_t,,
datatransmission,adjust_contact_l_t,,
errorscreendisabled1reference,adjust_contact_r,,
errorscreenenabled,adjust_contact_r_t,,
handheldselection,adjust_contact_t,,
informationsent,begin_session,,
interrogation,cellular,,
language214,language_list1,,
language215,language_list2,choose_language,
language218,language_list3,communicating,
language220,language_list4,connect_wires,
language221,language_list5,error,
language222,language_list6,get_ready,
language223,language_list7,gui_size_orientation,
language224,language_list8,hold_and_wait,
loadingscreenenglish,installing_update,,
lowbattery,,,
power,,,
profiledownload,,,
selectedlanguage,,,
selection,,,
shutdowntransition_ous,,,
startdisabled,,,
startdisabled1,,,
startsession,list1,,
startsetup,list2,,
strapwire1,list3,,
"strapwire1,2",list4,,
"strapwire1,2,3",list5,,
"strapwire1,3",list6,,
strapwire2,list7,,
"strapwire2,3",list8,,
strapwire3,loading,,
strapwire4,low_battery,,
strapwire5,search_cell_signal,,
strapwire6,search_for_cell_signal,,
strapwire7,select_use,,
strapwire8,selected_language,,
strapwire9,sending_data,,
successbatteryrec,sent_information,,
successscreen34,setting_up,,
successscreen35,setting_up_success,,
successscreen36,setting_up_unit,,
successscreenbutton,shutting_down,,
transitionscreen,start_disabled,,
uiinstallation,start_session,,
updatescreen,start_setup,,
wireinterrogation,success,,
wireselection,turn_off_unit,,
,updating_unit,,
,upload_success,,
